code,name,g_per_piece,01_price,02_price,03_price,04_price,05_price,06_price,07_price,08_price,09_price,10_price,11_price,12_price
43892,渋がき,75,297.8,387.8,,,,1002.6,865,771,457.3,272.8,278.7,300.6
43900,びわ,500,6176,5135.7,4211.9,2308.8,1629.4,1308.2,1221,882.5,,,,
44000,もも,230,,,,6041.4,2941.6,1080.4,777.9,664.9,644.9,583.1,3145,2948.2
44500,すもも,430,,,,1831,1447.2,774.8,663.6,676,656.8,708.6,382.3,312
44700,おうとう,250,36624.5,22078.8,13993.8,8147.6,5679.1,2312.2,1874.2,2088.1,1821.5,4304,2071,
44900,うめ,600,,,1080,476.2,610.7,519.7,356.1,286.9,665,1114,,2531
45000,ぶどう計,400,1687.8,922.8,776.2,4505.8,3272.9,1950.5,1755.1,1379.4,1342.4,1474.5,1810.5,2191.4
45020,デラウエア,100,,,,4126.9,2328.7,1334.7,1020.8,778.5,726.6,671.1,558,
45040,巨峰,400,1222.7,,1980,5201.2,3493.4,2126.4,1594.1,1178.8,1122.6,1275.4,1538.1,1503.7
45690,その他ぶどう,,1687.8,922.8,764.6,6777.4,6078.8,4046.1,2762.1,1786.4,1450.4,1520.8,1843.1,2195.1
45700,くり,100,799.5,1205,,,,,,965,802.5,831.8,1041.1,1231.3
46000,いちご,300,1643,1521.2,1330.3,1110.6,989.8,1337.2,2111.7,2197.3,2477.3,2984.9,2492.4,2266.8
47000,メロン計,995,1076.9,1100,1247.9,814.2,552.3,484.1,517.1,502.5,539.4,572.4,823.8,1091.6
47200,温室メロン,1400,1291.7,1319.4,1428.2,1090.3,921.7,849.8,796.4,679.4,664.4,743.6,926.4,1247.6
47420,アンデス,1250,628.9,597.3,772.1,704,515.3,434.7,416.4,353.4,380.7,419.7,555.2,660.4
47990,その他メロン,,854.3,918.9,845.4,661.4,508.3,447.3,486.8,460.1,478.9,471.1,622.4,740.9
48300,すいか,5000,364.2,439.4,396,345.4,295.6,243.5,217,221.2,257.5,275.1,286.4,310
49300,キウイフルーツ,100,539.6,535.7,547.6,558.9,510.7,467.5,387.7,296.6,509.6,779.1,592.8,561.6
49500,他の国産果実,,1410.8,1084.2,1854.8,2088.6,1877.8,1786.1,1481.1,942,919.4,985.1,939.6,1334.1
50000,輸入果実計,,223.2,226.8,234.3,274.8,290.9,293.3,283.9,280.2,276.3,268.7,258,238.8
50100,バナナ,500,172.3,181,183.7,187.3,185.4,181.8,183.6,185.6,184.8,182.2,176.3,169.1
50300,パイナップル,1500,175.8,178.3,188.1,198.1,202.7,200.6,197.5,202.9,199.2,193.6,185.6,175.4
41410,レモン,125,379.4,375,361.7,370.7,369.4,368.4,379.9,375.3,334,309.8,302.9,356.2
41430,グレープフルーツ,210,243.3,246.2,242.4,240.2,234,208,201.2,196.6,184,187.1,216.4,256
41410,バレンシアオレンジ,200,273.4,307.2,312.4,303.7,302,302.1,294,288,267.3,264,264.7,272.8
50700,輸入おうとう,,2164.3,2022.4,789.5,2816,2019.3,1507.4,1551.4,1341.4,585.7,65,2772,2364.4
50800,輸入キウイ,,478.5,478.1,530.2,669.7,625.8,600.2,602.1,605.8,599.4,591.6,563.9,525.9
50850,輸入メロン,,284.2,276.2,258.8,240.3,219.4,200.2,249.8,311.4,289.8,313.3,328.5,308.7
50900,他の輸入果実,,553.2,568.9,528.4,486.7,501.8,601.4,667.7,671.1,701.2,768.3,740.8,623.4
